,id,env,algo,policy,weight_init,bias_init,activation_fn,policy_net_scaling,performance,trials,peak_perf
0,61222eb8-0b73-11ed-b5d2-d5466a8a0e83,BipedalWalker-v3,PPO,ActorCriticPolicy,lecun_normal,random_uniform,Sigmoid,,171.023292561,-98.69041756 -86.17637520000001 -71.42009154 -38.34785848 104.25463572000001 154.38978452 154.69820432 154.4449416 265.58373612 278.77307959999996 271.65696027999996 225.26228862 251.39491506 243.66745144 274.8176174 264.75190072 278.00460278 230.14254585999998 290.46455246 272.79337749999996 ,290.46455246
1,6bce0684-0b73-11ed-8a19-ffb2236cd470,BipedalWalker-v3,PPO,ActorCriticPolicy,sparse,0.01,LeakyReLU,,218.835760351,-81.48318196000001 -36.54774438 59.616295560000005 132.67009718 129.74254346 232.41998868000002 287.98817757999996 293.07803684 262.74154008000005 273.69807238000004 275.93538548000004 287.20613614 292.75269134 271.34051234 264.11785728000007 273.3490668200001 293.54647028 299.47351894 287.15159786 277.91814512 ,299.47351894
2,f0bca626-0ba4-11ed-b5d2-d5466a8a0e83,BipedalWalker-v3,PPO,ActorCriticPolicy,lecun_normal,random_uniform,Tanh,,165.74336065699998,-93.42679218 -58.1997932 -6.022153779999999 32.86631908 60.345601280000004 155.63266126000002 188.62403643999997 171.0966174 235.69952535999997 217.39126471999998 231.50510930000004 239.45674917999995 237.82270508000002 211.64733969999997 233.45407534 237.75427424 242.74932152000002 249.16889114 271.69861912 255.60284213999998 ,271.69861912
3,532c45dc-0ba5-11ed-8a19-ffb2236cd470,BipedalWalker-v3,PPO,ActorCriticPolicy,sparse,0.01,ReLU,,193.115804228,-83.23557816 -52.9951374 43.42327884 101.0583883 66.58883632 109.47466949999998 231.53656994000002 184.7072033 204.80424074 213.3308364 285.82153189999997 287.8766382 301.02782216 292.34376968000004 297.82412706 303.52269254000004 294.91637019999996 294.20456682 256.96117868 229.12407954 ,303.52269254000004
4,6d34f3d2-0be8-11ed-8903-f937e0723516,BipedalWalker-v3,PPO,ActorCriticPolicy,lecun_normal,random_uniform,ReLU,,184.064488719,-93.8783942 -49.583293100000006 44.91269246000001 71.48286451999999 104.45644560000001 180.33630524 193.71576694 186.35463588 244.76663451999997 194.14909122 224.13684376 230.11168442 228.72765666000004 249.85813392 281.78392614 253.93717598000003 275.43501634 275.06153121999995 288.6968028 296.82825406 ,296.82825406
5,ee96d90a-0c87-11ed-9670-bde26d037506,BipedalWalker-v3,PPO,ActorCriticPolicy,lecun_normal,random_uniform,LeakyReLU,,181.97422766,-91.36527706 -46.235268659999996 8.799613939999992 18.241823020000005 129.95025902 187.77110413999998 153.24485532 133.19802854 198.51877745999997 262.23241306 232.25134861999996 228.86192333999998 256.58909508 276.64050998000005 270.41147986 270.26841705999993 287.13502536 279.83970766 292.36797074 290.76274672 ,292.36797074
6,2c5d6dc6-0cc4-11ed-8428-df3726f278d4,BipedalWalker-v3,PPO,ActorCriticPolicy,sparse,random_uniform,Tanh,,163.152594041,-17.876094400000003 -43.39977598 -9.478997620000001 88.79687809999999 50.403002900000004 39.09143675999999 183.38187202 119.79857386 120.64689037999999 226.93681607999997 215.94499591999997 224.82407267999997 271.03139808000003 277.67528194 283.18553706 240.74022993999998 246.38654085999997 231.77809240000002 237.88648230000004 275.29864754 ,283.18553706
7,441e1320-0cc4-11ed-873f-bf91e43257c1,BipedalWalker-v3,PPO,ActorCriticPolicy,lecun_uniform,random_uniform,Sigmoid,,150.566138187,-95.78516554 -100.12625608 -110.2317512 -86.06681554000001 -56.67317777999999 -7.70591756000001 123.31224248000001 207.60683244 229.78458017999998 244.83664457999998 241.13429313999995 248.39864626 264.03291014 270.89818135999997 256.74723123999996 284.02649152 251.64834596 277.32827527999996 282.57500756 285.5821653 ,285.5821653
8,f0be7334-0cf8-11ed-8084-c18955bc8021,BipedalWalker-v3,PPO,ActorCriticPolicy,lecun_uniform,random_uniform,Tanh,,167.128539533,-74.37946526 -89.61736443999999 -47.756507959999986 7.320826299999998 3.2738599999999964 1.3898479400000014 223.09270940000002 180.15581028000003 191.77401609999998 264.8215019 188.88527666 270.58762164 289.62212688 272.36670517999994 276.83108159999995 262.16328175999996 288.93103008 277.06194508 266.42521874 289.62126878 ,289.62212688
9,e5f02bb4-0cf8-11ed-8428-df3726f278d4,BipedalWalker-v3,PPO,ActorCriticPolicy,sparse,random_uniform,Sigmoid,,180.681044599,-71.14853696 -42.8784482 -26.013341860000004 34.401218220000004 58.90296995999999 105.64369156000001 219.6481401 240.47897202000004 229.57351891999997 224.73258162000002 210.02314394 247.96516634 243.43187278 245.59075581999997 269.73458684 270.92524864 278.32150616 286.73755584 293.0143713 294.53591894 ,294.53591894
